id,trueR,trueG,trueB
1,105.717645,92.51859,88.59057
2,171.14427,146.133105,152.673345
3,62.45358,129.107775,163.625595
4,92.240895,112.69776,88.474035
5,103.613895,124.27731,170.66793
6,0,157.51758,162.595395
7,206.117775,128.97747,87.571845
8,35.33331,114.09108,154.653165
9,181.372065,110.014395,120.393405
10,97.846815,73.3023,114.44706
11,146.51943,174.50313,99.702705
12,210.53208,147.75873,79.101765
13,0,101.86689,141.844515
14,0,133.77351,75.524115
15,172.66611,77.089815,87.09576
16,221.675325,175.935465,78.42066
17,192.938355,91.85508,148.921785
18,0,132.79176,175.12125
19,221.547315,228.000345,254.835015
20,169.00737,190.08159,210.045795
21,138.443835,157.897275,174.251445
22,110.653425,122.41224,136.368645
23,85.99365,95.60103,104.22564
24,70.13826,79.3611,84.9711
